num,tar,contr,v1,v2,pid_v1,pid_v2,pid_out,pid_in
1,0.000,-3.000,9.970,-3.030,9.970,-3.007,-10.000,-0.700
2,0.000,-3.000,9.940,-3.060,9.940,-3.014,-9.970,-0.699
3,0.000,-3.000,9.909,-3.090,9.910,-3.021,-9.940,-0.698
4,0.000,-3.000,9.878,-3.120,9.880,-3.028,-9.910,-0.697
5,0.000,-3.000,9.847,-3.150,9.849,-3.035,-9.880,-0.695
6,0.000,-3.000,9.816,-3.180,9.819,-3.042,-9.849,-0.694
7,0.000,-3.000,9.784,-3.210,9.789,-3.049,-9.819,-0.692
8,0.000,-3.000,9.752,-3.240,9.758,-3.056,-9.789,-0.690
9,0.000,-3.000,9.719,-3.270,9.727,-3.063,-9.758,-0.688
10,0.000,-3.000,9.687,-3.300,9.697,-3.069,-9.727,-0.686
11,0.000,-3.000,9.654,-3.330,9.666,-3.076,-9.697,-0.684
12,0.000,-3.000,9.620,-3.360,9.635,-3.083,-9.666,-0.682
13,0.000,-3.000,9.587,-3.390,9.605,-3.090,-9.635,-0.679
14,0.000,-3.000,9.553,-3.420,9.574,-3.097,-9.605,-0.677
15,0.000,-3.000,9.519,-3.450,9.543,-3.103,-9.574,-0.675
16,0.000,-3.000,9.484,-3.480,9.512,-3.110,-9.543,-0.673
17,0.000,-3.000,9.449,-3.510,9.481,-3.117,-9.512,-0.671
18,0.000,-3.000,9.414,-3.540,9.449,-3.123,-9.481,-0.669
19,0.000,-3.000,9.379,-3.570,9.418,-3.130,-9.449,-0.667
20,0.000,-3.000,9.343,-3.600,9.387,-3.137,-9.418,-0.664
21,0.000,-3.000,9.307,-3.630,9.356,-3.143,-9.387,-0.662
22,0.000,-3.000,9.271,-3.660,9.324,-3.150,-9.356,-0.660
23,0.000,-3.000,9.234,-3.690,9.293,-3.157,-9.324,-0.658
24,0.000,-3.000,9.197,-3.720,9.261,-3.163,-9.293,-0.656
25,0.000,-3.000,9.160,-3.750,9.229,-3.170,-9.261,-0.653
26,0.000,-3.000,9.123,-3.780,9.198,-3.176,-9.229,-0.651
27,0.000,-3.000,9.085,-3.810,9.166,-3.183,-9.198,-0.649
28,0.000,-3.000,9.047,-3.840,9.134,-3.189,-9.166,-0.647
29,0.000,-3.000,9.008,-3.870,9.102,-3.196,-9.134,-0.645
30,0.000,-3.000,8.970,-3.900,9.070,-3.202,-9.102,-0.642
31,0.000,-3.000,8.931,-3.930,9.038,-3.208,-9.070,-0.640
32,0.000,-3.000,8.891,-3.960,9.006,-3.215,-9.038,-0.638
33,0.000,-3.000,8.852,-3.990,8.974,-3.221,-9.006,-0.636
34,0.000,-3.000,8.812,-4.020,8.942,-3.227,-8.974,-0.633
35,0.000,-3.000,8.772,-4.050,8.910,-3.234,-8.942,-0.631
36,0.000,-3.000,8.731,-4.080,8.877,-3.240,-8.910,-0.629
37,0.000,-3.000,8.690,-4.110,8.845,-3.246,-8.877,-0.627
38,0.000,-3.000,8.649,-4.140,8.812,-3.253,-8.845,-0.624
39,0.000,-3.000,8.608,-4.170,8.780,-3.259,-8.812,-0.622
40,0.000,-3.000,8.566,-4.200,8.747,-3.265,-8.780,-0.620
41,0.000,-3.000,8.524,-4.230,8.715,-3.271,-8.747,-0.618
42,0.000,-3.000,8.482,-4.260,8.682,-3.277,-8.715,-0.615
43,0.000,-3.000,8.439,-4.290,8.649,-3.283,-8.682,-0.613
44,0.000,-3.000,8.396,-4.320,8.616,-3.290,-8.649,-0.611
45,0.000,-3.000,8.353,-4.350,8.583,-3.296,-8.616,-0.608
46,0.000,-3.000,8.310,-4.380,8.550,-3.302,-8.583,-0.606
47,0.000,-3.000,8.266,-4.410,8.517,-3.308,-8.550,-0.604
48,0.000,-3.000,8.222,-4.440,8.484,-3.314,-8.517,-0.602
49,0.000,-3.000,8.177,-4.470,8.451,-3.320,-8.484,-0.599
50,0.000,-3.000,8.133,-4.500,8.418,-3.326,-8.451,-0.597
51,0.000,-3.000,8.088,-4.530,8.385,-3.332,-8.418,-0.595
52,0.000,-3.000,8.042,-4.560,8.351,-3.338,-8.385,-0.592
53,0.000,-3.000,7.997,-4.590,8.318,-3.344,-8.351,-0.590
54,0.000,-3.000,7.951,-4.620,8.285,-3.349,-8.318,-0.588
55,0.000,-3.000,7.905,-4.650,8.251,-3.355,-8.285,-0.585
56,0.000,-3.000,7.858,-4.680,8.218,-3.361,-8.251,-0.583
57,0.000,-3.000,7.811,-4.710,8.184,-3.367,-8.218,-0.581
58,0.000,-3.000,7.764,-4.740,8.150,-3.373,-8.184,-0.578
59,0.000,-3.000,7.717,-4.770,8.116,-3.378,-8.150,-0.576
