num,tar,contr,v1,v2,pid_v1,pid_v2,pid_out,pid_in
60,0.000,-3.000,7.669,-4.800,8.083,-3.384,-8.116,-0.574
61,0.000,-3.000,7.621,-4.830,8.049,-3.390,-8.083,-0.571
62,0.000,-3.000,7.573,-4.860,8.015,-3.396,-8.049,-0.569
63,0.000,-3.000,7.524,-4.890,7.981,-3.401,-8.015,-0.567
64,0.000,-3.000,7.475,-4.920,7.947,-3.407,-7.981,-0.564
65,0.000,-3.000,7.426,-4.950,7.913,-3.412,-7.947,-0.562
66,0.000,-3.000,7.377,-4.980,7.879,-3.418,-7.913,-0.559
67,0.000,-3.000,7.327,-5.010,7.845,-3.424,-7.879,-0.557
68,0.000,-3.000,7.277,-5.040,7.810,-3.429,-7.845,-0.555
69,0.000,-3.000,7.226,-5.070,7.776,-3.435,-7.810,-0.552
70,0.000,-3.000,7.176,-5.100,7.742,-3.440,-7.776,-0.550
71,0.000,-3.000,7.125,-5.130,7.707,-3.446,-7.742,-0.548
72,0.000,-3.000,7.073,-5.160,7.673,-3.451,-7.707,-0.545
73,0.000,-3.000,7.022,-5.190,7.638,-3.457,-7.673,-0.543
74,0.000,-3.000,6.970,-5.220,7.604,-3.462,-7.638,-0.540
75,0.000,-3.000,6.918,-5.250,7.569,-3.467,-7.604,-0.538
76,0.000,-3.000,6.865,-5.280,7.535,-3.473,-7.569,-0.535
77,0.000,-3.000,6.812,-5.310,7.500,-3.478,-7.535,-0.533
78,0.000,-3.000,6.759,-5.340,7.465,-3.483,-7.500,-0.531
79,0.000,-3.000,6.706,-5.370,7.430,-3.489,-7.465,-0.528
80,0.000,-3.000,6.652,-5.400,7.395,-3.494,-7.430,-0.526
81,0.000,-3.000,6.598,-5.430,7.360,-3.499,-7.395,-0.523
82,0.000,-3.000,6.544,-5.460,7.325,-3.504,-7.360,-0.521
83,0.000,-3.000,6.489,-5.490,7.290,-3.510,-7.325,-0.518
84,0.000,-3.000,6.434,-5.520,7.255,-3.515,-7.290,-0.516
85,0.000,-3.000,6.379,-5.550,7.220,-3.520,-7.255,-0.514
86,0.000,-3.000,6.323,-5.580,7.185,-3.525,-7.220,-0.511
87,0.000,-3.000,6.268,-5.610,7.150,-3.530,-7.185,-0.509
88,0.000,-3.000,6.212,-5.640,7.114,-3.535,-7.150,-0.506
89,0.000,-3.000,6.155,-5.670,7.079,-3.540,-7.114,-0.504
90,0.000,-3.000,6.098,-5.700,7.044,-3.545,-7.079,-0.501
91,0.000,-3.000,6.041,-5.730,7.008,-3.550,-7.044,-0.499
92,0.000,-3.000,5.984,-5.760,6.973,-3.555,-7.008,-0.496
93,0.000,-3.000,5.927,-5.790,6.937,-3.560,-6.973,-0.494
94,0.000,-3.000,5.869,-5.820,6.901,-3.565,-6.937,-0.491
95,0.000,-3.000,5.810,-5.850,6.866,-3.570,-6.901,-0.489
96,0.000,-0.970,5.752,-5.860,6.830,-3.575,-6.866,-0.486
97,0.000,3.000,5.693,-5.830,6.794,-3.580,-6.830,-0.484
98,0.000,3.000,5.635,-5.800,6.759,-3.584,-6.794,-0.481
99,0.000,3.000,5.577,-5.770,6.723,-3.589,-6.759,-0.479
100,0.000,3.000,5.519,-5.740,6.687,-3.594,-6.723,-0.476
101,0.000,3.000,5.462,-5.710,6.651,-3.599,-6.687,-0.474
102,0.000,3.000,5.405,-5.680,6.615,-3.603,-6.651,-0.471
103,0.000,3.000,5.348,-5.650,6.579,-3.608,-6.615,-0.469
104,0.000,3.000,5.292,-5.620,6.543,-3.613,-6.579,-0.466
105,0.000,3.000,5.235,-5.590,6.507,-3.617,-6.543,-0.464
106,0.000,3.000,5.180,-5.560,6.471,-3.622,-6.507,-0.461
107,0.000,3.000,5.124,-5.530,6.434,-3.627,-6.471,-0.459
108,0.000,3.000,5.069,-5.500,6.398,-3.631,-6.434,-0.456
109,0.000,3.000,5.014,-5.470,6.362,-3.636,-6.398,-0.454
110,0.000,3.000,4.959,-5.440,6.325,-3.640,-6.362,-0.451
111,0.000,3.000,4.905,-5.410,6.289,-3.645,-6.325,-0.449
112,0.000,3.000,4.850,-5.380,6.253,-3.649,-6.289,-0.446
113,0.000,3.000,4.797,-5.350,6.216,-3.654,-6.253,-0.444
114,0.000,3.000,4.743,-5.320,6.179,-3.658,-6.216,-0.441
115,0.000,3.000,4.690,-5.290,6.143,-3.662,-6.179,-0.439
116,0.000,3.000,4.637,-5.260,6.106,-3.667,-6.143,-0.436
117,0.000,3.000,4.584,-5.230,6.070,-3.671,-6.106,-0.433
118,0.000,3.000,4.532,-5.200,6.033,-3.675,-6.070,-0.431
119,0.000,3.000,4.480,-5.170,5.996,-3.680,-6.033,-0.428
120,0.000,3.000,4.428,-5.140,5.959,-3.684,-5.996,-0.426
121,0.000,3.000,4.377,-5.110,5.923,-3.688,-5.959,-0.423
122,0.000,3.000,4.326,-5.080,5.886,-3.692,-5.923,-0.421
123,0.000,3.000,4.275,-5.050,5.849,-3.696,-5.886,-0.418
124,0.000,3.000,4.225,-5.020,5.812,-3.701,-5.849,-0.415
125,0.000,3.000,4.174,-4.990,5.775,-3.705,-5.812,-0.413
126,0.000,3.000,4.125,-4.960,5.738,-3.709,-5.775,-0.410
127,0.000,3.000,4.075,-4.930,5.701,-3.713,-5.738,-0.408
128,0.000,3.000,4.026,-4.900,5.663,-3.717,-5.701,-0.405
129,0.000,3.000,3.977,-4.870,5.626,-3.721,-5.663,-0.402
130,0.000,3.000,3.928,-4.840,5.589,-3.725,-5.626,-0.400
131,0.000,3.000,3.880,-4.810,5.552,-3.729,-5.589,-0.397
132,0.000,3.000,3.832,-4.780,5.515,-3.733,-5.552,-0.395
133,0.000,3.000,3.784,-4.750,5.477,-3.737,-5.515,-0.392
134,0.000,3.000,3.736,-4.720,5.440,-3.741,-5.477,-0.389
135,0.000,3.000,3.689,-4.690,5.402,-3.745,-5.440,-0.387
136,0.000,3.000,3.642,-4.660,5.365,-3.748,-5.402,-0.384
137,0.000,3.000,3.596,-4.630,5.328,-3.752,-5.365,-0.382
138,0.000,3.000,3.549,-4.600,5.290,-3.756,-5.328,-0.379
139,0.000,3.000,3.503,-4.570,5.252,-3.760,-5.290,-0.376
140,0.000,3.000,3.458,-4.540,5.215,-3.764,-5.252,-0.374
141,0.000,3.000,3.412,-4.510,5.177,-3.767,-5.215,-0.371
142,0.000,3.000,3.367,-4.480,5.140,-3.771,-5.177,-0.369
143,0.000,3.000,3.322,-4.450,5.102,-3.775,-5.140,-0.366
144,0.000,3.000,3.278,-4.420,5.064,-3.778,-5.102,-0.363
145,0.000,3.000,3.234,-4.390,5.026,-3.782,-5.064,-0.361
146,0.000,3.000,3.190,-4.360,4.988,-3.785,-5.026,-0.358
147,0.000,3.000,3.146,-4.330,4.951,-3.789,-4.988,-0.355
148,0.000,3.000,3.103,-4.300,4.913,-3.793,-4.951,-0.353
149,0.000,3.000,3.060,-4.270,4.875,-3.796,-4.913,-0.350
150,0.000,3.000,3.017,-4.240,4.837,-3.800,-4.875,-0.347
151,0.000,3.000,2.975,-4.210,4.799,-3.803,-4.837,-0.345
152,0.000,3.000,2.933,-4.180,4.761,-3.806,-4.799,-0.342
153,0.000,3.000,2.891,-4.150,4.723,-3.810,-4.761,-0.339
154,0.000,3.000,2.849,-4.120,4.685,-3.813,-4.723,-0.337
155,0.000,3.000,2.808,-4.090,4.647,-3.816,-4.685,-0.334
156,0.000,3.000,2.767,-4.060,4.608,-3.820,-4.647,-0.331
157,0.000,3.000,2.727,-4.030,4.570,-3.823,-4.608,-0.329
158,0.000,3.000,2.686,-4.000,4.532,-3.826,-4.570,-0.326
159,0.000,3.000,2.646,-3.970,4.494,-3.830,-4.532,-0.323
160,0.000,3.000,2.607,-3.940,4.455,-3.833,-4.494,-0.321
161,0.000,3.000,2.567,-3.910,4.417,-3.836,-4.455,-0.318
162,0.000,3.000,2.528,-3.880,4.379,-3.839,-4.417,-0.315
163,0.000,3.000,2.489,-3.850,4.340,-3.842,-4.379,-0.313
164,0.000,3.000,2.451,-3.820,4.302,-3.845,-4.340,-0.310
165,0.000,3.000,2.413,-3.790,4.263,-3.848,-4.302,-0.307
166,0.000,3.000,2.375,-3.760,4.225,-3.851,-4.263,-0.305
167,0.000,3.000,2.337,-3.730,4.186,-3.855,-4.225,-0.302
168,0.000,3.000,2.300,-3.700,4.148,-3.857,-4.186,-0.299
169,0.000,3.000,2.263,-3.670,4.109,-3.860,-4.148,-0.297
170,0.000,3.000,2.226,-3.640,4.071,-3.863,-4.109,-0.294
171,0.000,3.000,2.190,-3.610,4.032,-3.866,-4.071,-0.291
172,0.000,3.000,2.154,-3.580,3.993,-3.869,-4.032,-0.289
173,0.000,3.000,2.118,-3.550,3.955,-3.872,-3.993,-0.286
174,0.000,3.000,2.082,-3.520,3.916,-3.875,-3.955,-0.283
175,0.000,3.000,2.047,-3.490,3.877,-3.878,-3.916,-0.280
176,0.000,3.000,2.012,-3.460,3.838,-3.880,-3.877,-0.278
177,0.000,3.000,1.978,-3.430,3.800,-3.883,-3.838,-0.275
178,0.000,3.000,1.943,-3.400,3.761,-3.886,-3.800,-0.272
179,0.000,3.000,1.909,-3.370,3.722,-3.889,-3.761,-0.270
180,0.000,3.000,1.876,-3.340,3.683,-3.891,-3.722,-0.267
181,0.000,3.000,1.842,-3.310,3.644,-3.894,-3.683,-0.264
182,0.000,3.000,1.809,-3.280,3.605,-3.897,-3.644,-0.261
183,0.000,3.000,1.776,-3.250,3.566,-3.899,-3.605,-0.259
184,0.000,3.000,1.744,-3.220,3.527,-3.902,-3.566,-0.256
185,0.000,3.000,1.712,-3.190,3.488,-3.904,-3.527,-0.253
186,0.000,3.000,1.680,-3.160,3.449,-3.907,-3.488,-0.251
187,0.000,3.000,1.648,-3.130,3.410,-3.909,-3.449,-0.248
188,0.000,3.000,1.617,-3.100,3.371,-3.912,-3.410,-0.245
189,0.000,3.000,1.586,-3.070,3.332,-3.914,-3.371,-0.242
190,0.000,3.000,1.555,-3.040,3.293,-3.916,-3.332,-0.240
191,0.000,3.000,1.525,-3.010,3.254,-3.919,-3.293,-0.237
192,0.000,3.000,1.495,-2.980,3.214,-3.921,-3.254,-0.234
193,0.000,3.000,1.465,-2.950,3.175,-3.924,-3.214,-0.231
194,0.000,3.000,1.435,-2.920,3.136,-3.926,-3.175,-0.229
195,0.000,3.000,1.406,-2.890,3.097,-3.928,-3.136,-0.226
196,0.000,3.000,1.377,-2.860,3.057,-3.930,-3.097,-0.223
197,0.000,3.000,1.349,-2.830,3.018,-3.933,-3.057,-0.220
198,0.000,3.000,1.320,-2.800,2.979,-3.935,-3.018,-0.218
199,0.000,3.000,1.292,-2.770,2.939,-3.937,-2.979,-0.215
200,0.000,3.000,1.265,-2.740,2.900,-3.939,-2.939,-0.212
201,0.000,3.000,1.237,-2.710,2.861,-3.941,-2.900,-0.209
202,0.000,3.000,1.210,-2.680,2.821,-3.943,-2.861,-0.207
203,0.000,3.000,1.183,-2.650,2.782,-3.945,-2.821,-0.204
204,0.000,3.000,1.157,-2.620,2.742,-3.947,-2.782,-0.201
205,0.000,3.000,1.131,-2.590,2.703,-3.949,-2.742,-0.198
206,0.000,3.000,1.105,-2.560,2.663,-3.951,-2.703,-0.196
207,0.000,3.000,1.079,-2.530,2.624,-3.953,-2.663,-0.193
208,0.000,3.000,1.054,-2.500,2.584,-3.955,-2.624,-0.190
209,0.000,3.000,1.029,-2.470,2.545,-3.957,-2.584,-0.187
210,0.000,3.000,1.004,-2.440,2.505,-3.959,-2.545,-0.185
211,0.000,3.000,0.980,-2.410,2.466,-3.960,-2.505,-0.182
212,0.000,3.000,0.956,-2.380,2.426,-3.962,-2.466,-0.179
213,0.000,3.000,0.932,-2.350,2.386,-3.964,-2.426,-0.176
214,0.000,3.000,0.908,-2.320,2.347,-3.966,-2.386,-0.174
215,0.000,3.000,0.885,-2.290,2.307,-3.967,-2.347,-0.171
216,0.000,3.000,0.862,-2.260,2.268,-3.969,-2.307,-0.168
217,0.000,3.000,0.840,-2.230,2.228,-3.971,-2.268,-0.165
218,0.000,3.000,0.817,-2.200,2.188,-3.972,-2.228,-0.162
219,0.000,3.000,0.795,-2.170,2.148,-3.974,-2.188,-0.160
220,0.000,3.000,0.774,-2.140,2.109,-3.976,-2.148,-0.157
221,0.000,3.000,0.752,-2.110,2.069,-3.977,-2.109,-0.154
222,0.000,3.000,0.731,-2.080,2.029,-3.979,-2.069,-0.151
223,0.000,3.000,0.710,-2.050,1.989,-3.980,-2.029,-0.149
224,0.000,3.000,0.690,-2.020,1.950,-3.982,-1.989,-0.146
225,0.000,3.000,0.670,-1.990,1.910,-3.983,-1.950,-0.143
226,0.000,3.000,0.650,-1.960,1.870,-3.984,-1.910,-0.140
227,0.000,3.000,0.630,-1.930,1.830,-3.986,-1.870,-0.137
228,0.000,3.000,0.611,-1.900,1.790,-3.987,-1.830,-0.135
229,0.000,3.000,0.592,-1.870,1.750,-3.988,-1.790,-0.132
230,0.000,3.000,0.573,-1.840,1.710,-3.990,-1.750,-0.129
231,0.000,3.000,0.555,-1.810,1.671,-3.991,-1.710,-0.126
232,0.000,3.000,0.537,-1.780,1.631,-3.992,-1.671,-0.123
233,0.000,3.000,0.519,-1.750,1.591,-3.993,-1.631,-0.121
234,0.000,3.000,0.501,-1.720,1.551,-3.995,-1.591,-0.118
235,0.000,3.000,0.484,-1.690,1.511,-3.996,-1.551,-0.115
236,0.000,3.000,0.467,-1.660,1.471,-3.997,-1.511,-0.112
237,0.000,3.000,0.451,-1.630,1.431,-3.998,-1.471,-0.109
238,0.000,3.000,0.435,-1.600,1.391,-3.999,-1.431,-0.107
239,0.000,3.000,0.419,-1.570,1.351,-4.000,-1.391,-0.104
240,0.000,3.000,0.403,-1.540,1.311,-4.001,-1.351,-0.101
241,0.000,3.000,0.387,-1.510,1.271,-4.002,-1.311,-0.098
242,0.000,3.000,0.372,-1.480,1.231,-4.003,-1.271,-0.095
243,0.000,3.000,0.358,-1.450,1.191,-4.004,-1.231,-0.093
244,0.000,3.000,0.343,-1.420,1.151,-4.005,-1.191,-0.090
245,0.000,3.000,0.329,-1.390,1.111,-4.006,-1.151,-0.087
246,0.000,3.000,0.315,-1.360,1.071,-4.007,-1.111,-0.084
247,0.000,3.000,0.301,-1.330,1.031,-4.007,-1.071,-0.081
248,0.000,3.000,0.288,-1.300,0.991,-4.008,-1.031,-0.079
249,0.000,3.000,0.275,-1.270,0.950,-4.009,-0.991,-0.076
250,0.000,3.000,0.262,-1.240,0.910,-4.010,-0.950,-0.073
251,0.000,3.000,0.250,-1.210,0.870,-4.010,-0.910,-0.070
252,0.000,3.000,0.238,-1.180,0.830,-4.011,-0.870,-0.067
253,0.000,3.000,0.226,-1.150,0.790,-4.012,-0.830,-0.065
254,0.000,3.000,0.215,-1.120,0.750,-4.012,-0.790,-0.062
255,0.000,3.000,0.203,-1.090,0.710,-4.013,-0.750,-0.059
256,0.000,3.000,0.192,-1.060,0.670,-4.013,-0.710,-0.056
257,0.000,3.000,0.182,-1.030,0.630,-4.014,-0.670,-0.053
258,0.000,3.000,0.172,-1.000,0.589,-4.015,-0.630,-0.051
259,0.000,3.000,0.162,-0.970,0.549,-4.015,-0.589,-0.048
260,0.000,3.000,0.152,-0.940,0.509,-4.015,-0.549,-0.045
261,0.000,3.000,0.142,-0.910,0.469,-4.016,-0.509,-0.042
262,0.000,3.000,0.133,-0.880,0.429,-4.016,-0.469,-0.039
263,0.000,3.000,0.125,-0.850,0.389,-4.017,-0.429,-0.037
264,0.000,3.000,0.116,-0.820,0.349,-4.017,-0.389,-0.034
265,0.000,3.000,0.108,-0.790,0.308,-4.017,-0.349,-0.031
266,0.000,3.000,0.100,-0.760,0.268,-4.018,-0.308,-0.028
267,0.000,3.000,0.092,-0.730,0.228,-4.018,-0.268,-0.025
268,0.000,3.000,0.085,-0.700,0.188,-4.018,-0.228,-0.023
269,0.000,3.000,0.078,-0.670,0.148,-4.018,-0.188,-0.020
270,0.000,3.000,0.071,-0.640,0.107,-4.018,-0.148,-0.017
271,0.000,3.000,0.065,-0.610,0.067,-4.019,-0.107,-0.014
272,0.000,3.000,0.059,-0.580,0.027,-4.019,-0.067,-0.011
273,0.000,3.000,0.053,-0.550,-0.013,-4.019,-0.027,-0.008
274,0.000,3.000,0.048,-0.520,-0.053,-4.019,0.013,-0.006
275,0.000,3.000,0.042,-0.490,-0.093,-4.019,0.053,-0.003
276,0.000,3.000,0.038,-0.460,-0.134,-4.019,0.093,-0.000
277,0.000,3.000,0.033,-0.430,-0.174,-4.019,0.134,0.003
278,0.000,3.000,0.029,-0.400,-0.214,-4.019,0.174,0.006
279,0.000,3.000,0.025,-0.370,-0.254,-4.019,0.214,0.008
280,0.000,3.000,0.021,-0.340,-0.294,-4.019,0.254,0.011
281,0.000,3.000,0.018,-0.310,-0.335,-4.018,0.294,0.014
282,0.000,3.000,0.014,-0.280,-0.375,-4.018,0.335,0.017
283,0.000,3.000,0.012,-0.250,-0.415,-4.018,0.375,0.020
284,0.000,3.000,0.009,-0.220,-0.455,-4.018,0.415,0.022
285,0.000,3.000,0.007,-0.190,-0.495,-4.018,0.455,0.025
286,0.000,3.000,0.005,-0.160,-0.536,-4.017,0.495,0.028
287,0.000,3.000,0.003,-0.130,-0.576,-4.017,0.536,0.031
288,0.000,3.000,0.002,-0.100,-0.616,-4.017,0.576,0.034
289,0.000,3.000,0.001,-0.070,-0.656,-4.016,0.616,0.037
290,0.000,3.000,0.000,-0.040,-0.696,-4.016,0.656,0.039
291,0.000,3.000,0.000,-0.010,-0.736,-4.015,0.696,0.042
292,0.000,1.327,-0.000,0.004,-0.776,-4.015,0.736,0.045
293,0.000,-0.356,0.000,-0.000,-0.817,-4.015,0.776,0.048
294,0.000,0.000,0.000,-0.000,-0.857,-4.014,0.817,0.051
295,0.000,0.000,-0.000,0.000,-0.897,-4.013,0.857,0.053
296,0.000,-0.000,0.000,-0.000,-0.937,-4.013,0.897,0.056
297,0.000,0.000,-0.000,0.000,-0.977,-4.012,0.937,0.059
298,0.000,-0.000,-0.000,-0.000,-1.017,-4.012,0.977,0.062
299,0.000,0.000,-0.000,0.000,-1.057,-4.011,1.017,0.065
300,0.000,-0.000,0.000,-0.000,-1.098,-4.010,1.057,0.067
301,0.000,0.000,-0.000,-0.000,-1.138,-4.010,1.098,0.070
302,0.000,0.000,-0.000,0.000,-1.178,-4.009,1.138,0.073
303,0.000,-0.000,0.000,-0.000,-1.218,-4.008,1.178,0.076
304,0.000,0.000,0.000,-0.000,-1.258,-4.007,1.218,0.079
305,0.000,0.000,-0.000,0.000,-1.298,-4.007,1.258,0.082
306,0.000,-0.000,0.000,-0.000,-1.338,-4.006,1.298,0.084
307,0.000,0.000,-0.000,0.000,-1.378,-4.005,1.338,0.087
308,0.000,-0.000,-0.000,-0.000,-1.418,-4.004,1.378,0.090
309,0.000,0.000,-0.000,0.000,-1.458,-4.003,1.418,0.093
310,0.000,-0.000,0.000,-0.000,-1.498,-4.002,1.458,0.096
311,0.000,0.000,0.000,-0.000,-1.538,-4.001,1.498,0.098
312,0.000,0.000,-0.000,0.000,-1.578,-4.000,1.538,0.101
313,0.000,-0.000,0.000,-0.000,-1.618,-3.999,1.578,0.104
314,0.000,0.000,-0.000,0.000,-1.658,-3.998,1.618,0.107
315,0.000,-0.000,-0.000,-0.000,-1.698,-3.997,1.658,0.110
316,0.000,0.000,-0.000,0.000,-1.738,-3.996,1.698,0.112
317,0.000,-0.000,0.000,-0.000,-1.778,-3.995,1.738,0.115
318,0.000,0.000,-0.000,-0.000,-1.818,-3.993,1.778,0.118
319,0.000,0.000,-0.000,0.000,-1.858,-3.992,1.818,0.121
320,0.000,-0.000,0.000,-0.000,-1.898,-3.991,1.858,0.124
321,0.000,0.000,0.000,-0.000,-1.938,-3.990,1.898,0.126
322,0.000,0.000,-0.000,0.000,-1.978,-3.988,1.938,0.129
323,0.000,-0.000,0.000,-0.000,-2.018,-3.987,1.978,0.132
324,0.000,0.000,-0.000,0.000,-2.058,-3.986,2.018,0.135
325,0.000,-0.000,-0.000,-0.000,-2.097,-3.984,2.058,0.138
326,0.000,0.000,-0.000,0.000,-2.137,-3.983,2.097,0.140
327,0.000,-0.000,0.000,-0.000,-2.177,-3.982,2.137,0.143
328,0.000,0.000,0.000,-0.000,-2.217,-3.980,2.177,0.146
329,0.000,0.000,-0.000,0.000,-2.257,-3.979,2.217,0.149
330,0.000,-0.000,0.000,-0.000,-2.296,-3.977,2.257,0.151
331,0.000,0.000,-0.000,0.000,-2.336,-3.976,2.296,0.154
332,0.000,-0.000,-0.000,-0.000,-2.376,-3.974,2.336,0.157
333,0.000,0.000,-0.000,0.000,-2.416,-3.972,2.376,0.160
334,0.000,-0.000,0.000,-0.000,-2.455,-3.971,2.416,0.163
335,0.000,0.000,0.000,-0.000,-2.495,-3.969,2.455,0.165
336,0.000,0.000,-0.000,0.000,-2.535,-3.967,2.495,0.168
337,0.000,-0.000,0.000,-0.000,-2.575,-3.966,2.535,0.171
338,0.000,0.000,0.000,-0.000,-2.614,-3.964,2.575,0.174
339,0.000,0.000,-0.000,0.000,-2.654,-3.962,2.614,0.177
340,0.000,-0.000,0.000,-0.000,-2.693,-3.960,2.654,0.179
341,0.000,0.000,-0.000,0.000,-2.733,-3.959,2.693,0.182
342,0.000,-0.000,-0.000,-0.000,-2.773,-3.957,2.733,0.185
343,0.000,0.000,-0.000,0.000,-2.812,-3.955,2.773,0.188
344,0.000,-0.000,0.000,-0.000,-2.852,-3.953,2.812,0.190
345,0.000,0.000,0.000,-0.000,-2.891,-3.951,2.852,0.193
346,0.000,0.000,-0.000,0.000,-2.931,-3.949,2.891,0.196
347,0.000,-0.000,0.000,-0.000,-2.970,-3.947,2.931,0.199
348,0.000,0.000,-0.000,0.000,-3.010,-3.945,2.970,0.201
349,0.000,-0.000,-0.000,-0.000,-3.049,-3.943,3.010,0.204
350,0.000,0.000,-0.000,0.000,-3.089,-3.941,3.049,0.207
351,0.000,-0.000,0.000,-0.000,-3.128,-3.939,3.089,0.210
352,0.000,0.000,0.000,-0.000,-3.167,-3.937,3.128,0.213
353,0.000,0.000,-0.000,0.000,-3.207,-3.935,3.167,0.215
354,0.000,-0.000,0.000,-0.000,-3.246,-3.932,3.207,0.218
355,0.000,0.000,-0.000,0.000,-3.285,-3.930,3.246,0.221
356,0.000,-0.000,-0.000,-0.000,-3.325,-3.928,3.285,0.224
357,0.000,0.000,-0.000,0.000,-3.364,-3.926,3.325,0.226
358,0.000,-0.000,0.000,-0.000,-3.403,-3.923,3.364,0.229
359,0.000,0.000,-0.000,-0.000,-3.443,-3.921,3.403,0.232
360,0.000,0.000,-0.000,0.000,-3.482,-3.919,3.443,0.235
361,0.000,-0.000,0.000,-0.000,-3.521,-3.916,3.482,0.237
362,0.000,0.000,0.000,-0.000,-3.560,-3.914,3.521,0.240
363,0.000,0.000,-0.000,0.000,-3.599,-3.912,3.560,0.243
364,0.000,-0.000,0.000,-0.000,-3.638,-3.909,3.599,0.246
365,0.000,0.000,-0.000,0.000,-3.677,-3.907,3.638,0.248
